movie_name,movie_rate,genre1,genre2,genre3,genre4,genre5,genre6
1917,8.5,Drama,War,,,,
2012,8,Sci-Fi,,,,,
21座桥 / 21 Bridges,6.5,Action,Mystery,Crime,,,
365：逆转命运的1年 / 365:운명을 거스르는 1년,8.9,Mystery,Thriller,Fantasy,,,
82年生的金智英 / 82년생 김지영,8.6,Drama,,,,,
9号秘事 第二季 / Inside No. 9 Season 2,8.6,Comedy,Mystery,,,,
9号秘事 第六季 / Inside No. 9 Season 6,9.1,Comedy,Mystery,Thriller,,,
9号秘事 第七季 / Inside No. 9 Season 7,9,Drama,Comedy,Mystery,Thriller,Horror,Crime
9号秘事 第三季 / Inside No. 9 Season 3,9.3,Comedy,Mystery,Horror,,,
9号秘事 第四季 / Inside No. 9 Season 4,9.4,Comedy,Mystery,Thriller,,,
9号秘事 第五季 / Inside No. 9 Season 5,8.2,Comedy,Mystery,Thriller,,,
9号秘事 第一季 / Inside No. 9 Season 1,9.1,Comedy,Mystery,Horror,,,
X战警2 / X2,7.7,Action,Sci-Fi,Thriller,,,
X战警3：背水一战 / X-Men: The Last Stand,7.7,Action,Sci-Fi,Thriller,,,
X战警 / X-Men,7.8,Action,Sci-Fi,,,,
X战警：第一战 / X-Men: First Class,8.2,Drama,Action,Sci-Fi,,,
X战警：黑凤凰 / Dark Phoenix,5.7,Action,Sci-Fi,Adventure,,,
X战警：逆转未来 / X-Men: Days of Future Past,8.2,Drama,Action,Sci-Fi,Adventure,,
X战警：天启 / X-Men: Apocalypse,7.7,Action,Sci-Fi,Fantasy,Adventure,,
,,,,,
,,,,,
阿凡达 / Avatar,8.8,Action,Sci-Fi,Adventure,,,
阿甘正传 / Forrest Gump,9.5,Drama,Romance,,,,
阿拉丁 / Aladdin,7.4,Romance,Music,Fantasy,Adventure,,
爱很美味,8.1,Drama,Comedy,Romance,,,
爱乐之城 / La La Land,8.4,Drama,Romance,Music,,,
爱情神话,8.1,Drama,Comedy,Romance,,,
"爱，死亡和机器人 第二季 / Love, Death & Robots Season 2",6.8,Comedy,Sci-Fi,Animation,Horror,Short,Fantasy
"爱，死亡和机器人 第一季 / Love, Death & Robots Season 1",9.2,Comedy,Sci-Fi,Animation,Horror,Fantasy,
安多 第一季 / Andor Season 1,9.1,Drama,Action,Sci-Fi,Thriller,Adventure,
白色巨塔 / 白い巨塔,9.7,Drama,,,,,
白蛇：缘起,7.8,Romance,Animation,Fantasy,,,
白夜追凶,8.9,Drama,Mystery,Crime,,,
百万美元宝贝 / Million Dollar Baby,8.7,Drama,,,,,
半个喜剧,7.3,Comedy,Romance,,,,
暴裂无声,8.2,Drama,Mystery,Crime,,,
爆裂鼓手 / Whiplash,8.7,Drama,Music,,,,
悲惨世界 / Les Misérables,8.7,Drama,Romance,Music,,,
被嫌弃的松子的一生 / 嫌われ松子の一生,8.9,Drama,Music,,,,
本杰明·巴顿奇事 / The Curious Case of Benjamin Button,9,Drama,Romance,Fantasy,,,
蝙蝠侠：黑暗骑士 / The Dark Knight,9.2,Drama,Action,Sci-Fi,Thriller,Crime,
蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises,8.8,Drama,Action,Sci-Fi,Thriller,Crime,
蝙蝠侠：侠影之谜 / Batman Begins,8.6,Drama,Action,Sci-Fi,Thriller,Crime,
辩护人 / 변호인,9.2,Drama,,,,,
冰川时代 / Ice Age,8.6,Comedy,Animation,Adventure,,,
冰雪奇缘2 / Frozen II,7,Comedy,Animation,Music,Adventure,,
波斯语课 / Persischstunden,8.1,Drama,,,,,
波西米亚狂想曲 / Bohemian Rhapsody,8.6,Drama,,Music,Biography,,
伯德小姐 / Lady Bird,7.9,Drama,Family,,,,
搏击俱乐部 / Fight Club,9,Drama,Action,Mystery,Thriller,,
布达佩斯大饭店 / The Grand Budapest Hotel,8.9,Drama,Comedy,Adventure,,,
彩排 第一季 / The Rehearsal Season 1,8.8,Comedy,Documentary,,,,
超感猎杀 第二季 / Sense8 Season 2,9.2,Drama,Sci-Fi,Mystery,Thriller,,
超感猎杀 第一季 / Sense8 Season 1,8.9,Drama,Sci-Fi,,,,
超感猎杀：圣诞特别篇 / Sense8: A Christmas Special,8.7,Drama,Sci-Fi,,,,
超感猎杀：完结特别篇 / Sense8 Finale Special,9.2,Drama,Sci-Fi,,,,
超脱 / Detachment,9,Drama,,,,,
沉默的真相,9,Drama,Mystery,Crime,,,
沉睡魔咒2 / Maleficent: Mistress of Evil,5.9,Fantasy,Adventure,,,,
,,,,,
,,,,,
沉睡魔咒 / Maleficent,7.4,Fantasy,Adventure,,,,
乘风破浪,6.8,Drama,Comedy,,,,
丑闻笔记 / Notes on a Scandal,7.9,Drama,Thriller,,,,
出·路,7.7,Documentary,,,,,
楚门的世界 / The Truman Show,9.4,Drama,Sci-Fi,,,,
穿条纹睡衣的男孩 / The Boy in the Striped Pajamas,9.2,Drama,War,,,,
传染病 / Contagion,7.1,Drama,Sci-Fi,Thriller,,,
刺杀小说家,6.5,Action,Fantasy,Adventure,,,
刺猬的优雅 / Le hérisson,8.8,Drama,,,,,
达拉斯买家俱乐部 / Dallas Buyers Club,8.8,Drama,,Biography,,,
大佛普拉斯,8.7,Drama,Comedy,,,,
大护法,7.8,Comedy,Animation,Fantasy,Adventure,,
大象席地而坐,8.1,Drama,,,,,
大小谎言 第二季 / Big Little Lies Season 2,8.8,Drama,Mystery,Crime,,,
大小谎言 第一季 / Big Little Lies Season 1,9,Drama,Mystery,Crime,,,
大鱼 / Big Fish,8.8,Drama,Family,Fantasy,Adventure,,
大鱼海棠,7,Drama,Animation,Fantasy,,,
大侦探皮卡丘 / Pokémon Detective Pikachu,6.4,Comedy,Animation,Fantasy,Adventure,,
当幸福来敲门 / The Pursuit of Happyness,9.2,Drama,Family,Biography,,,
盗梦空间 / Inception,9.4,Drama,Sci-Fi,Mystery,Adventure,,
低俗小说 / Pulp Fiction,8.9,Drama,Comedy,Crime,,,
调音师 / Andhadhun,8.2,Comedy,Mystery,Thriller,Crime,,
碟中谍6：全面瓦解 / Mission: Impossible - Fallout,8.1,Action,Thriller,Adventure,,,
东城梦魇 / Mare of Easttown,8.8,Drama,Mystery,Crime,,,
动物世界,7.2,Drama,Action,Adventure,,,
毒液：致命守护者 / Venom,7.2,Action,Sci-Fi,Thriller,,,
独行月球,6.6,Comedy,Sci-Fi,,,,
对手,7.8,Drama,Mystery,,,,
二十二,8.7,Documentary,,,,,
反叛的鲁路修 / コードギアス 反逆のルルーシュ,9.1,Sci-Fi,Animation,,,,
反贪风暴4 / P風暴,5.9,Action,Crime,,,,
放牛班的春天 / Les choristes,9.3,Drama,Music,,,,
